,school_name,state_name_latest_available_year,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,magnet_school,shared_time_school,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
662,CHRISTIANSBURG PRIMARY,Virginia,510252001021,Montgomery County,†,24073,2-No,2-No,13-City: Small,1-Yes,VA-060,VA-060-0600780
663,CHRISTOPHER C. KRAFT ELEM,Virginia,510180000737,Hampton city,†,23666,2-No,2-No,12-City: Mid-size,†,VA-112,VA-112-1120420
664,CHRISTOPHER FARMS ELEM,Virginia,510384001656,Virginia Beach city,†,23453,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280990
665,CHURCH CREEK ELEMENTARY,Maryland,240039000468,Harford County,†,21017,2-No,2-No,22-Suburb: Mid-size,2-No,MD-12,MD-12-120125
666,CHURCH HILL ELEMENTARY SCHOOL,Maryland,240054001192,Queen Anne's County,†,21623,2-No,2-No,42-Rural: Distant,1-Yes,MD-17,MD-17-170202
667,CHURCH LANE ELEMENTARY TECHNOLOGY,Maryland,240012000364,Baltimore County,†,21133,2-No,2-No,21-Suburb: Large,1-Yes,MD-03,MD-03-030207
668,CHURCHILL ROAD ELEM,Virginia,510126000449,Fairfax County,†,22101,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0291050
669,CHURCHLAND ACADEMY ELEM,Virginia,510300002069,Portsmouth city,†,23703,2-No,2-No,13-City: Small,1-Yes,VA-121,VA-121-1210321
670,CHURCHLAND ELEM,Virginia,510300001239,Portsmouth city,†,23703,2-No,2-No,13-City: Small,†,VA-121,VA-121-1210650
671,CHURCHLAND HIGH,Virginia,510300000375,Portsmouth city,†,23703,1-Yes,2-No,13-City: Small,†,VA-121,VA-121-1210500
672,CHURCHLAND MIDDLE,Virginia,510300001241,Portsmouth city,†,23703,2-No,2-No,13-City: Small,†,VA-121,VA-121-1210320
673,CHURCHLAND PRESCHOOL CTR,Virginia,510300002829,Portsmouth city,†,23703,2-No,2-No,13-City: Small,†,VA-121,VA-121-1210322
674,CHURCHLAND PRIMARY & INTERMEDIATE,Virginia,510300001242,Portsmouth city,†,23703,2-No,2-No,13-City: Small,1-Yes,VA-121,VA-121-1210160
675,CHURCHVILLE ELEM,Virginia,510030000119,Augusta County,†,24421,2-No,2-No,41-Rural: Fringe,1-Yes,VA-008,VA-008-0080140
676,CHURCHVILLE ELEMENTARY,Maryland,240039000684,Harford County,†,21028,2-No,2-No,41-Rural: Fringe,†,MD-12,MD-12-120316
677,CITY ARTS & PREP PCS,District of Columbia,110005300455,District of Columbia,†,20017,†,–,11-City: Large,–,DC-153,DC-153-210
678,CITY NEIGHBORS CHARTER SCHOOL,Maryland,240009001478,Baltimore city,†,21206,2-No,2-No,11-City: Large,†,MD-30,MD-30-300326
679,CITY NEIGHBORS HAMILTON,Maryland,240009001680,Baltimore city,†,21214,2-No,2-No,11-City: Large,2-No,MD-30,MD-30-300346
680,CITY NEIGHBORS HIGH,Maryland,240009001690,Baltimore city,†,21214,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300376
681,CITY SPRINGS ELEMENTARY/MIDDLE,Maryland,240009000175,Baltimore city,†,21231,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300008
682,CLARA BYRD BAKER ELEM,Virginia,510402002170,James City County,†,23185,2-No,2-No,23-Suburb: Small,2-No,VA-131,VA-131-1310040
683,CLAREMONT IMMERSION,Virginia,510027002404,Arlington County,†,22206,1-Yes,2-No,12-City: Mid-size,†,VA-007,VA-007-0070622
684,CLAREMONT SCHOOL,Maryland,240009000176,Baltimore city,†,21205,2-No,2-No,11-City: Large,†,MD-30,MD-30-300307
685,CLARK ELEM,Virginia,510078002110,Charlottesville city,†,22902,2-No,2-No,13-City: Small,1-Yes,VA-104,VA-104-1040050
686,CLARKE COUNTY HIGH,Virginia,510087002100,Clarke County,†,22611,2-No,2-No,31-Town: Fringe,†,VA-022,VA-022-0220010
687,CLARKSBURG ELEMENTARY,Maryland,240048000804,Montgomery County,†,20871,2-No,2-No,21-Suburb: Large,†,MD-15,MD-15-150101
688,CLARKSBURG HIGH,Maryland,240048001541,Montgomery County,†,20871,2-No,2-No,21-Suburb: Large,†,MD-15,MD-15-150249
689,CLARKSVILLE ELEM,Virginia,510246001004,Mecklenburg County,†,23927,2-No,2-No,43-Rural: Remote,1-Yes,VA-058,VA-058-0581000
690,CLARKSVILLE ELEMENTARY,Maryland,240042000724,Howard County,†,21029,2-No,2-No,13-City: Small,†,MD-13,MD-13-130505
