school_name,state_name,lowest_grade_offered,highest_grade_offered,total_students_all_grades,free_and_reduced_lunch_students,reduced-price_lunch_eligible_students,latitude,longitude,magnet_school,charter_school,shared_time_school,urban-centric_locale,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
RISING SUN HIGH,Maryland,9th Grade,12th Grade,1122,261,50,39.691769,-75.97129100000002,2-No,2-No,2-No,41-Rural: Fringe,240024090469,Cecil County,†,21901,41-Rural: Fringe,†,MD-07,MD-07-070905
RIVER HILL HIGH,Maryland,9th Grade,12th Grade,1382,63,13,39.215301,-76.92884000000002,2-No,2-No,2-No,13-City: Small,240042000816,Howard County,†,21029,13-City: Small,†,MD-13,MD-13-130524
ROCKVILLE HIGH,Maryland,9th Grade,12th Grade,1450,350,62,39.08663,-77.118597,2-No,2-No,2-No,13-City: Small,240048000912,Montgomery County,†,20851,13-City: Small,†,MD-15,MD-15-150230
SENECA VALLEY HIGH,Maryland,9th Grade,12th Grade,1181,444,75,39.17520800000001,-77.26422,2-No,2-No,2-No,21-Suburb: Large,240048000918,Montgomery County,†,20874,21-Suburb: Large,2-No,MD-15,MD-15-150104
SEVERNA PARK HIGH,Maryland,9th Grade,12th Grade,1865,66,8,39.076619,-76.55828199999998,2-No,2-No,2-No,21-Suburb: Large,240006000127,Anne Arundel County,†,21146,21-Suburb: Large,†,MD-02,MD-02-022013
SHERWOOD HIGH,Maryland,9th Grade,12th Grade,1973,297,51,39.148182,-77.01876700000003,2-No,2-No,2-No,21-Suburb: Large,240048000921,Montgomery County,†,20860,21-Suburb: Large,†,MD-15,MD-15-150503
SMITHSBURG HIGH,Maryland,9th Grade,12th Grade,757,225,33,39.662076,-77.574292,2-No,2-No,2-No,22-Suburb: Mid-size,240066001285,Washington County,†,21783,22-Suburb: Mid-size,†,MD-21,MD-21-210701
SNOW HILL HIGH,Maryland,9th Grade,12th Grade,322,144,26,38.169082,-75.389752,2-No,2-No,2-No,42-Rural: Distant,240072001334,Worcester County,†,21863,42-Rural: Distant,2-No,MD-23,MD-23-230207
SOUTH CARROLL HIGH,Maryland,9th Grade,12th Grade,1031,100,19,39.443149,-77.04151,2-No,2-No,2-No,41-Rural: Fringe,240021000546,Carroll County,†,21784,41-Rural: Fringe,†,MD-06,MD-06-061401
SOUTH HAGERSTOWN HIGH,Maryland,9th Grade,12th Grade,1259,709,71,39.620424,-77.732173,1-Yes,2-No,2-No,13-City: Small,240066001288,Washington County,†,21740,13-City: Small,1-Yes,MD-21,MD-21-210301
SOUTH RIVER HIGH,Maryland,9th Grade,12th Grade,2179,224,41,38.922015,-76.559954,2-No,2-No,2-No,21-Suburb: Large,240006000055,Anne Arundel County,†,21037,21-Suburb: Large,†,MD-02,MD-02-024293
SOUTHERN GARRETT HIGH SCHOOL,Maryland,9th Grade,12th Grade,715,291,63,39.404611,-79.389999,2-No,2-No,2-No,32-Town: Distant,240036000674,Garrett County,†,21550,32-Town: Distant,†,MD-11,MD-11-110709
SOUTHERN HIGH,Maryland,9th Grade,12th Grade,997,218,39,38.86858,-76.61918299999998,2-No,2-No,2-No,41-Rural: Fringe,240006000132,Anne Arundel County,†,20776,41-Rural: Fringe,†,MD-02,MD-02-024023
SPARROWS POINT HIGH,Maryland,9th Grade,12th Grade,992,382,89,39.238614,-76.442131,1-Yes,2-No,2-No,21-Suburb: Large,240012000477,Baltimore County,†,21219,21-Suburb: Large,†,MD-03,MD-03-031573
SPRINGBROOK HIGH,Maryland,9th Grade,12th Grade,1735,828,176,39.058235,-77.005672,2-No,2-No,2-No,21-Suburb: Large,240048000926,Montgomery County,†,20904,21-Suburb: Large,1-Yes,MD-15,MD-15-150798
ST. CHARLES HIGH SCHOOL,Maryland,9th Grade,12th Grade,1335,457,82,38.567694,-76.908996,2-No,2-No,2-No,41-Rural: Fringe,240027001727,Charles County,†,20602,41-Rural: Fringe,†,MD-08,MD-08-080802
STEPHEN DECATUR HIGH,Maryland,9th Grade,12th Grade,1363,417,57,38.341732,-75.19026099999998,2-No,2-No,2-No,32-Town: Distant,240072001335,Worcester County,†,21811,32-Town: Distant,†,MD-23,MD-23-230310
SUITLAND HIGH,Maryland,9th Grade,12th Grade,1921,1205,193,38.853948,-76.91761600000002,1-Yes,2-No,2-No,21-Suburb: Large,240051001164,Prince George's County,†,20747,21-Suburb: Large,†,MD-16,MD-16-160603
SURRATTSVILLE HIGH,Maryland,9th Grade,12th Grade,702,350,76,38.762179,-76.901168,2-No,2-No,2-No,21-Suburb: Large,240051001167,Prince George's County,†,20735,21-Suburb: Large,†,MD-16,MD-16-160908
THE REACH! PARTNERSHIP SCHOOL,Maryland,9th Grade,12th Grade,545,545,"=""0""",39.31769,-76.585251,2-No,2-No,2-No,11-City: Large,240009001663,Baltimore city,†,21213,11-City: Large,1-Yes,MD-30,MD-30-300341
